x,y,z
-23.0, -19.0, -19.0
-23.0, -19.0, -19.0
-23.0, -19.0, -19.0
-23.0, -19.0, -19.0
-23.0, -20.0, -20.0
-24.0, -19.0, -19.0
-24.0, -19.0, -19.0
-24.0, -23.0, -23.0
-25.0, -22.0, -22.0
-25.0, -22.0, -22.0
-26.0, -23.0, -23.0
-26.0, -23.0, -23.0
-27.0, -24.0, -24.0
-27.0, -24.0, -24.0
-26.0, -25.0, -25.0
-26.0, -25.0, -25.0
-27.0, -26.0, -26.0
-28.0, -27.0, -27.0
-28.0, -27.0, -27.0
-29.0, -28.0, -28.0
-29.0, -28.0, -28.0
-26.0, -30.0, -30.0
-26.0, -30.0, -30.0
-28.0, -30.0, -30.0
-28.0, -32.0, -32.0
-28.0, -32.0, -32.0
-28.0, -33.0, -33.0
-28.0, -33.0, -33.0
-28.0, -35.0, -35.0
-28.0, -35.0, -35.0
-27.0, -35.0, -35.0
-27.0, -36.0, -36.0
-27.0, -36.0, -36.0
-27.0, -38.0, -38.0
-27.0, -38.0, -38.0
-27.0, -39.0, -39.0
-27.0, -39.0, -39.0
-27.0, -39.0, -39.0
-27.0, -40.0, -40.0
-27.0, -40.0, -40.0
-27.0, -42.0, -42.0
-27.0, -42.0, -42.0
-26.0, -42.0, -42.0
-26.0, -42.0, -42.0
-24.0, -44.0, -44.0
-24.0, -44.0, -44.0
-24.0, -44.0, -44.0
-23.0, -45.0, -45.0
-23.0, -45.0, -45.0
-22.0, -45.0, -45.0
-22.0, -45.0, -45.0
-22.0, -47.0, -47.0
-22.0, -47.0, -47.0
-21.0, -48.0, -48.0
-19.0, -47.0, -47.0
-19.0, -47.0, -47.0
-17.0, -49.0, -49.0
-17.0, -49.0, -49.0
-17.0, -49.0, -49.0
-17.0, -49.0, -49.0
-17.0, -49.0, -49.0
-17.0, -49.0, -49.0
-17.0, -49.0, -49.0
-15.0, -50.0, -50.0
-15.0, -50.0, -50.0
-16.0, -51.0, -51.0
-16.0, -51.0, -51.0
-12.0, -49.0, -49.0
-13.0, -49.0, -49.0
-13.0, -49.0, -49.0
-11.0, -49.0, -49.0
-11.0, -49.0, -49.0
-11.0, -51.0, -51.0
-11.0, -51.0, -51.0
-10.0, -50.0, -50.0
-10.0, -50.0, -50.0
-8.0, -51.0, -51.0
-7.0, -50.0, -50.0
-7.0, -50.0, -50.0
-5.0, -50.0, -50.0
-5.0, -50.0, -50.0
-6.0, -50.0, -50.0
-6.0, -50.0, -50.0
-3.0, -49.0, -49.0
-3.0, -49.0, -49.0
-3.0, -49.0, -49.0
-1.0, -48.0, -48.0
-1.0, -48.0, -48.0
-1.0, -47.0, -47.0
-1.0, -47.0, -47.0
1.0, -47.0, -47.0
0.0, -45.0, -45.0
0.0, -45.0, -45.0
2.0, -44.0, -44.0
2.0, -44.0, -44.0
3.0, -45.0, -45.0
3.0, -45.0, -45.0
3.0, -44.0, -44.0
3.0, -43.0, -43.0
3.0, -43.0, -43.0
5.0, -39.0, -39.0
5.0, -39.0, -39.0
3.0, -41.0, -41.0
3.0, -41.0, -41.0
5.0, -38.0, -38.0
5.0, -38.0, -38.0
6.0, -37.0, -37.0
6.0, -36.0, -36.0
6.0, -36.0, -36.0
5.0, -35.0, -35.0
5.0, -35.0, -35.0
5.0, -34.0, -34.0
5.0, -34.0, -34.0
7.0, -34.0, -34.0
8.0, -33.0, -33.0
8.0, -33.0, -33.0
7.0, -31.0, -31.0
7.0, -31.0, -31.0
7.0, -29.0, -29.0
7.0, -29.0, -29.0
7.0, -28.0, -28.0
7.0, -28.0, -28.0
9.0, -27.0, -27.0
9.0, -26.0, -26.0
9.0, -26.0, -26.0
7.0, -24.0, -24.0
7.0, -24.0, -24.0
7.0, -25.0, -25.0
7.0, -25.0, -25.0
7.0, -21.0, -21.0
7.0, -21.0, -21.0
7.0, -21.0, -21.0
4.0, -21.0, -21.0
4.0, -21.0, -21.0
4.0, -19.0, -19.0
4.0, -19.0, -19.0
4.0, -18.0, -18.0
2.0, -16.0, -16.0
2.0, -16.0, -16.0
4.0, -16.0, -16.0
4.0, -16.0, -16.0
2.0, -15.0, -15.0
2.0, -15.0, -15.0
0.0, -15.0, -15.0
0.0, -12.0, -12.0
0.0, -12.0, -12.0
0.0, -12.0, -12.0
0.0, -12.0, -12.0
-1.0, -14.0, -14.0
-1.0, -14.0, -14.0
-3.0, -12.0, -12.0
-3.0, -12.0, -12.0
-3.0, -12.0, -12.0
-5.0, -12.0, -12.0
-5.0, -12.0, -12.0
-6.0, -11.0, -11.0
-6.0, -11.0, -11.0
-6.0, -11.0, -11.0
-6.0, -11.0, -11.0
-7.0, -11.0, -11.0
-9.0, -12.0, -12.0
-9.0, -12.0, -12.0
-9.0, -12.0, -12.0
-9.0, -12.0, -12.0
